tid,text,datetime,lang,location,place,source,retweeted,user,q_text
1190821119722319872,"@DebandKhola @ShredderBabe @Yankeeman2018 @steph93065 @RepKatieHill Why do you split hairs to defend a predator? Affairs w/ subordinates are always unethical. Do you want to work where the boss sleeps with workers? That's a hostile workplace. If she worked in the private sector, she would have been immediately fired.",2019-11-03 02:40:53,en,,,"""https://mobile.twitter.com""",0,beducal,workplace
1190821108850843653,@InquisitiveUrsa @eye2winner @ourqueenrachel @marilyn_geary @Amy_Siskind There are numerous processes in place to report abuse in the workplace.  Talking to the Huffington Post to tarnish a political campaign is not one of them.,2019-11-03 02:40:51,en,"Chicago, IL",,"""http://twitter.com/download/iphone""",0,kyle2chi,workplace
1190821058498183168,"when playboi carti said “bring that money home, daddy waiting for it” he was queering late capitalistic heterosexual earning…",2019-11-03 02:40:39,en,,,"""http://twitter.com/download/android""",5131,20thcenturydyke,workplace
1190820888691822593,"Day33: The use of fear in the workplace destroys value b/c the strategies we use to cope with it are exactly the opposite of what’s needed to actually create value (collaboration, curiosity, creativity and empathy). #culture #LeadershipMatters #EmployeeExperience",2019-11-03 02:39:58,en,"Wichita, KS",,"""http://twitter.com/download/iphone""",0,bondryan,workplace
1190820866822561792,He is scrupulous in treating trans people with respect as there are transphobia - discusses the protesters outside and…,2019-11-03 02:39:53,en,,,"""http://twitter.com/download/android""",1,LNation10,workplace
1190820812447715328,"@VelingtonFern @emilymiller @RealCandaceO So, surely you can produce lawsuits that back your claim, which you state supports the original tweet? 

Men sleeping with women in the workplace was never considered rape?",2019-11-03 02:39:40,en,"Florida, USA",,"""http://twitter.com/download/iphone""",0,surf_witch,workplace
1190820694164148224,It is safer for everyone if ICE takes custody of an alien in the controlled environment of another law enforcement agency a…,2019-11-03 02:39:12,en,,,"""http://twitter.com/download/iphone""",4,whca1,workplace
1190820332086517761,"NHS policy should be if you refuse treatment from all non-white doctors, the hospital refuses you treatment full-stop. NHS n…",2019-11-03 02:37:46,en,Theatre of Dreams,,"""http://twitter.com/download/iphone""",5017,timtan_,workplace
1190820255460806657,"Sexual harassment may cause emotional, physical, or mental health concerns to be faced by some survivors. Victims of sexual harassment can experience strained relationships in the workplace, but are also at risk for numerous health problems.

#BreakTheSilence
#KilosAksyonLaban https://t.co/wH9raxUOUH",2019-11-03 02:37:27,en,,,"""https://mobile.twitter.com""",0,kal_project,workplace
1190820221147217920,"Besides TAFEP, MOM or a union, workers unsure about the clauses in their contracts can call our Workplace Harassment and Dis…",2019-11-03 02:37:19,en,singapore ,,"""http://twitter.com/download/iphone""",3,Ghalib_Jennings,workplace
1190820173252481025,@4grouplove2 True sis. Thank you💛I kinda missing my old workplace though..,2019-11-03 02:37:08,en,"Sabah, Malaysia",,"""http://twitter.com/download/android""",0,adriana_honey10,workplace
1190820143208845312,"#LGBTQwrimo 2
Detective Frankie Gallagher is a bi-sexual woman dealing with harassment on the job while she works a diffi…",2019-11-03 02:37:01,en,,,"""https://mobile.twitter.com""",4,LGBTQRetweeter,workplace
1190820117384486912,No doubt there will be a lot of union-bashing as a result of this.  It should be noted that there's corruption/criminal…,2019-11-03 02:36:55,en,"Kingston, Ontario",,"""http://twitter.com/download/iphone""",1,RobbJMacKay,workplace
1190819901897879552,"Not everyone at your workplace is your friend . 
DO YOUR JOB
GET Paid 
 Go home........🤗😎🙌😊",2019-11-03 02:36:03,en,Pretoria (South Africa),,"""http://twitter.com/download/iphone""",163,CoelhoRapetsoa,workplace
1190819748411518976,Block Out Workplace Distractions With These 'Sennheiser' Headphones https://t.co/YJwSXbqbHT #Entrepreneur https://t.co/GB…,2019-11-03 02:35:27,en,,,"""https://BuySellRent.Biz""",1,BuySellRentBiz,workplace
1190819729608466432,How to trial flexible working in your workplace - https://t.co/8K1B04pca1,2019-11-03 02:35:22,en,Silicon Valley,,"""https://app.clearviewsocial.com""",0,ViShakers,workplace
1190819691876560896,@JVER1 @IceCrea99739674 They are snowflakes any never worked for anything they wanted because their mommy and daddy boug…,2019-11-03 02:35:13,en,,,"""https://mobile.twitter.com""",1,IceCrea99739674,workplace
1190819577262772224,@weyhnaa Thank you! 💛Yes...i'm trying my best to survive and adapt in my new workplace haha.,2019-11-03 02:34:46,en,"Sabah, Malaysia",,"""http://twitter.com/download/android""",0,adriana_honey10,workplace
1190819479401316352,@MaralynParker It’s a disgusting use of biometric technology. It’s a violation of the human right to privacy and bodily…,2019-11-03 02:34:22,en,Melbourne ,,"""http://twitter.com/download/iphone""",4,beer_nun,workplace
1190819464553435136,"During this year's Lobby Day, @UPMC health care professionals met with over 50 lawmakers to discuss workplace health safety…",2019-11-03 02:34:19,en,US,,"""http://twitter.com/download/iphone""",14,rodahssn,workplace
1190819459654537216,"@ArmchairPseph most hindu working age people aren't ideological, they just want to relax and be entertained

they have had enough politics to contend with at the workplace, society and the public square

most hindu kids just emulate their elders and learn to be as 'well adjusted' as media shows",2019-11-03 02:34:18,en,,,"""https://mobile.twitter.com""",0,realimptrouble,workplace
1190819440482373632,".@rameshbeheradfb, Dy Director @dfbodisha inaugurated 2 more AAINA model workshops at our Choudwar Plant in the presence of se…",2019-11-03 02:34:13,en,,,"""http://twitter.com/download/iphone""",1,rameshbeheradfb,workplace
1190819426960105472,Hey did you know: unionizing your workplace is cool and very hip,2019-11-03 02:34:10,en,"Vermont, USA",,"""http://twitter.com/download/iphone""",0,plesiosocialism,workplace
1190819415882784768,Wish there were more workplace slice of life anime like shirobako or new game but looks like these are pretty much the best ones,2019-11-03 02:34:07,en,,,"""http://twitter.com/download/iphone""",0,shouyako,workplace
1190819374921158656,"In a new study of 2,000 working Americans, over 40% suffer from workplace exhaustion, stress, or anxiety! Should employer…",2019-11-03 02:33:57,en,,,"""http://twitter.com/download/iphone""",3,mylelita,workplace
1190819311432142848,Block Out Workplace Distractions With These 'Sennheiser' Headphones https://t.co/YJwSXbqbHT #Entrepreneur https://t.co/GB5Bgfy7Ex,2019-11-03 02:33:42,en,GET Socialyz It,,"""https://socialyz.it""",1,NickNicholls,workplace
1190819289533579264,@SchmiegSophie @simonlbn @0xMatt You shouldn’t be able to fire someone based on their views (provided they don’t voice it in the workplace)... thats exactly the type of thing we fight against.,2019-11-03 02:33:37,en,"Sydney, New South Wales",,"""http://twitter.com/download/iphone""",0,siv_brth,workplace
1190819260588670976,I guess it will surprise you too if you know that the average students grades will not qualify them for college of tech schools. After secondary they will be good as climate change warriors or gender right group advocates. The best will be getting jobs fr old daddy’s workplace https://t.co/U4ppbxBGDi,2019-11-03 02:33:30,en,"Calgary, Alberta",,"""http://twitter.com/download/iphone""",0,Yerman317,workplace
1190819214719778816,Very cool indeed @hvgoenka . Hope I will be able to make my workplace a bit more casual some day soon https://t.co/SujaKBe0xz,2019-11-03 02:33:19,en,"Ajmer, India",,"""http://twitter.com/download/android""",3,QureshRaza,workplace
1190819120205332481,I love The Morning Show from Apple...unironically. The male ego monologue in episode 3 is such a delight. Makes me cringe the way men lecture women like children in the workplace.,2019-11-03 02:32:57,en,MI to NC to VA to WA,,"""http://twitter.com/download/iphone""",0,rfern_____,workplace
1190819089721118721,"My friends ex that cheated on her came into my workplace and started hitting on me, followed me on Instagram, and slid into my dms telling me I looked “cute as fuck” tonight. Men really AINT shit.",2019-11-03 02:32:49,en,,,"""http://twitter.com/download/iphone""",0,netherlesss,workplace
1190819013758197760,Wouldn't it be fantastic to have @Ian4WestDerby on the green benches? When it comes to fighting for our class interests…,2019-11-03 02:32:31,en,"Birmingham, England",,"""https://mobile.twitter.com""",263,TheBirmingham6,workplace
1190818922477604864,"""It marks the latest payout by the state related to managers inadequately addressing workplace concerns raised by employee…",2019-11-03 02:32:10,en,Missouree,,"""http://twitter.com/#!/download/ipad""",2,emzorbit,workplace
1190818496881426432,Had a rough weeeeek. Better spend my day-off away from my workplace for now haha #headingsouth https://t.co/tAoXAE5OGs,2019-11-03 02:30:28,en,Central Visayas,,"""http://twitter.com/download/android""",0,jaylogsss_,workplace
1190818342321262592,"Why No One Should Be Surprised Cisco Named ‘World’s Best Workplace’ For 2019 via @forbes https://t.co/F9lxJltO4I 
Think great, do best, God rest",2019-11-03 02:29:51,en,Don't have house.,,"""https://mobile.twitter.com""",0,benito_dr,workplace
1190818337791651840,NBC Buys ‘Mavenhood’ Social Media Drama From ‘NCIS: Los Angeles’ Co-EP &amp; Elizabeth Banks With Penalty https://t.co/WFahuYO9l6 via @Deadline,2019-11-03 02:29:50,en,brasil,,"""http://twitter.com""",0,IamElesier,workplace
1190818277473296384,"By blurring lines btw workplace &amp; community, Chicago teachers follow in the tradition of Packinghouse workers who organize…",2019-11-03 02:29:36,en,,,"""https://mobile.twitter.com""",294,thebling_vote,workplace
1190818196049317889,Today’s workplace https://t.co/uqoJUVal1R,2019-11-03 02:29:16,en,,,"""https://mobile.twitter.com""",6,allenrmason1,workplace
1190818100494647296,"It’s just about time Americans and all patriots march on Washington for Illegal immigration, work Visa abuse, human trafficking…",2019-11-03 02:28:54,en,,,"""http://twitter.com/download/iphone""",5,lord_curzon,workplace
1190817959557681152,@TrumperSeaney @RNinMI @BernieSanders We need smaller less intrusive government  The line got crossed long ago by spying on us citizens in their own residences and workplace The government is us. Our reps work for us. Or they might want to think this out and decide what is really really important We won’t go away,2019-11-03 02:28:20,en,"Florida, USA",,"""http://twitter.com/download/iphone""",0,Dikross,workplace
1190817570749894656,"@cashcamel93 Burnout took me out at 55. I wonder, though, if in my case the source was inside me.

Toxicity on the other hand I agree comes from the workplace.",2019-11-03 02:26:47,en,"Austin, TX",,"""http://twitter.com/#!/download/ipad""",0,MarkCainWrites,workplace
1190817557583937537,Lloyd Billingsley: It’s been 10 years since the “workplace violence” at Fort Hood. Can we finally hold President Obama…,2019-11-03 02:26:44,en,,,"""http://twitter.com/download/android""",20,JenniferEvette6,workplace
1190817555969118209,"There is so much going on with that, deeply, deeply offensive autism analogy, but then, “obviously no one like Weinstein. oh by the way, at the quillette party they all made friends with a person accused by many women of sexually inappropriate workplace behavior”",2019-11-03 02:26:44,en,"Buffalo, NY",,"""http://twitter.com/download/iphone""",0,js_thrill,workplace
1190817414537105408,"i mean its unsettling because i always thought i could codeswitch seamlessly, but lahs lehs and aiyahs have been uttered at the workplace and to white people before i could stop myself....",2019-11-03 02:26:10,en,SG,,"""https://mobile.twitter.com""",0,liuwyz,workplace
1190817382538924033,"Are you a fan of #teamwork? No? If you rather avoid #brainstorming sessions and open-plan seating, this article is for you.…",2019-11-03 02:26:02,en,en apure venezuela,,"""https://mobile.twitter.com""",67,NNinozca,workplace
1190816991206133760,"@daTARTANSPARTAN @PankhurstEM Damn right. I would pick a life of 95% more likely to die in the workplace and living less on average, than to be female. The world is cruel",2019-11-03 02:24:29,en,"Scunthorpe, England",,"""http://twitter.com/download/android""",0,TabathaPSpence,workplace
1190816877435609088,"Workplace training is easy to implement, but the results are harder to come by. Tracy O'Rourke breaks down how using a Flipped Classroom approach can foster interactive learning environments that are scalable and liberating for existing internal resources. https://t.co/2o7pxwK5HQ https://t.co/OEL1jgR148",2019-11-03 02:24:02,en,,,"""https://buffer.com""",0,GoLeanSixSigma,workplace
1190816834653696000,"A simple, one-hour visit communicates great care to people. https://t.co/ge6abbKKGx",2019-11-03 02:23:52,en,"St Petersburg, FL",,"""http://twitter.com/download/iphone""",2,bradleybrisco,workplace
1190816832791482379,Witnessing Co-founder Claire Wasserman deliver a powerful speech about equality at the workplace to a room full of women 😍 W…,2019-11-03 02:23:51,en,United States,,"""http://twitter.com/download/android""",9,RachelAHerrera4,workplace
1190816825694543878,Automate accounts payable and prepare for growth https://t.co/YnuiHcYcyR,2019-11-03 02:23:50,en,"Bangalore, India",,"""http://dynamicsignal.com/""",0,jnbharath,workplace
1190816772682739712,"Make ur workplace a happy place ! 
Thanks a million @DonnaAdi .
What an amazing perspective. See the picture I gave he…",2019-11-03 02:23:37,en,,,"""http://twitter.com/download/android""",307,bukke_jaipal,workplace
